Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,discharge_rate,discharge_ratio
9.36,11.84,0.156,0.156,110.8224,26.844,10324.615384615388,b2,88.81,27.0,0.7905404737719195,0.005777777563786016
9.34,11.84,0.1556666666666666,0.3116666666666666,110.5856,26.688333333333333,10286.723768736616,b2,88.81,27.0,0.7888512847253983,0.005765431885230915
9.34,11.83,0.1556666666666666,0.4673333333333333,110.4922,26.532666666666668,10226.723768736618,b2,88.81,27.0,0.7895181073949191,0.005765431885230915
7.14,11.88,0.119,0.5863333333333334,84.8232,26.413666666666668,13317.81512605042,b2,88.81,27.0,0.6010100504200294,0.004407407244170102
7.13,11.88,0.1188333333333333,0.7051666666666667,84.7044,26.294833333333333,13276.49368863955,b2,88.81,27.0,0.600168299649133,0.004401234404892551
7.13,11.88,0.1188333333333333,0.8240000000000001,84.7044,26.176,13216.49368863955,b2,88.81,27.0,0.600168299649133,0.004401234404892551
7.13,11.87,0.1188333333333333,0.9428333333333334,84.6331,26.057166666666667,13156.493688639552,b2,88.81,27.0,0.6006739173821469,0.004401234404892551
10.89,11.78,0.1815,1.1243333333333334,128.2842,25.875666666666667,8553.939393939394,b2,88.81,27.0,0.9244481388414145,0.0067222219732510375
10.89,11.77,0.1815,1.3058333333333334,128.1753,25.694166666666668,8493.939393939394,b2,88.81,27.0,0.9252335662503344,0.0067222219732510375
10.89,11.77,0.1815,1.4873333333333334,128.1753,25.512666666666668,8433.939393939394,b2,88.81,27.0,0.9252335662503344,0.0067222219732510375
10.88,11.76,0.1813333333333333,1.6686666666666667,127.9488,25.331333333333333,8381.691176470587,b2,88.81,27.0,0.9251699893562936,0.006716049133973487
10.88,11.75,0.1813333333333333,1.85,127.84,25.15,8321.691176470587,b2,88.81,27.0,0.9259573680036284,0.006716049133973487
7.72,11.83,0.1286666666666666,1.9786666666666668,91.3276,25.021333333333335,11667.9792746114,b2,88.81,27.0,0.6525781358767425,0.004765431922267951
7.71,11.82,0.1285,2.107166666666666,91.1322,24.892833333333332,11623.112840466923,b2,88.81,27.0,0.6522842087746017,0.0047592590829904045
7.71,11.82,0.1285,2.2356666666666665,91.1322,24.764333333333333,11563.112840466929,b2,88.81,27.0,0.6522842087746017,0.0047592590829904045
7.71,11.82,0.1285,2.3641666666666663,91.1322,24.635833333333338,11503.112840466923,b2,88.81,27.0,0.6522842087746017,0.0047592590829904045
