Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
22.65,11.9,0.3775,12.571833333333332,269.535,67.42816666666667,10717.059602649008,tn1,85.0,80.0,[10802.02540151]
22.62,11.89,0.377,12.948833333333331,268.95180000000005,67.05116666666666,10671.27320954907,tn1,85.0,80.0,[10644.35623119]
8.51,12.15,0.1418333333333333,13.090666666666666,103.3965,66.90933333333334,28304.77085781434,tn1,85.0,80.0,[28262.494954]
8.51,12.15,0.1418333333333333,13.232499999999998,103.3965,66.7675,28244.770857814336,tn1,85.0,80.0,[28226.65948383]
11.98,12.08,0.1996666666666667,13.432166666666664,144.7184,66.56783333333334,20003.689482470785,tn1,85.0,80.0,[20003.77588332]
16.12,12.0,0.2686666666666666,13.700833333333332,193.44,66.29916666666666,14806.265508684864,tn1,85.0,80.0,[14820.73476118]
16.12,11.99,0.2686666666666666,13.969499999999998,193.2788,66.0305,14746.265508684864,tn1,85.0,80.0,[14721.57341748]
16.11,11.99,0.2685,14.237999999999998,193.1589,65.762,14695.418994413409,tn1,85.0,80.0,[14701.21816121]
6.09,12.18,0.1014999999999999,14.339499999999996,74.1762,65.6605,38814.08866995074,tn1,85.0,80.0,[38656.67843491]
6.1,12.2,0.1016666666666666,14.441166666666664,74.41999999999999,65.55883333333334,38690.45901639345,tn1,85.0,80.0,[38603.16309782]
18.18,11.95,0.303,14.744166666666665,217.251,65.25583333333333,12921.94719471947,tn1,85.0,80.0,[12813.81053393]
22.54,11.87,0.3756666666666666,15.119833333333332,267.54979999999995,64.88016666666667,10362.404614019522,tn1,85.0,80.0,[10360.480624]
19.0,11.92,0.3166666666666666,15.4365,226.48,64.5635,12233.084210526316,tn1,85.0,80.0,[12291.97318043]
18.99,11.92,0.3164999999999999,15.752999999999998,226.3608,64.247,12179.526066350712,tn1,85.0,80.0,[12260.45552977]
18.99,11.91,0.3164999999999999,16.069499999999998,226.1709,63.9305,12119.526066350712,tn1,85.0,80.0,[12211.94280531]
